Date,Currency,Buying,Selling,Mean
2009-01-19,MWK,14.6085,14.7391,14.6738
2009-01-19,ITL,0.5862,0.5975,0.5919
2009-01-19,DEM,580.3812,591.5581,585.9696
2009-01-19,SEK,159.0902,162.0322,160.5612
2009-01-19,ATS,82.4934,84.082,83.2877
2009-01-19,UGX,0.7873,0.7985,0.7929
2009-01-19,KWD,4531.3514,4622.1988,4576.7751
2009-01-19,AUD,875.4557,893.8469,884.6513
2009-01-19,PKR,22.3572,22.7148,22.536
2009-01-19,ESP,6.8224,6.9535,6.888
2009-01-19,AED,349.9985,357.0927,353.5456
2009-01-19,CAD,1036.0609,1056.6941,1046.3775
2009-01-19,DKK,230.3306,234.8798,232.6052
2009-01-19,KES,18.6296,18.9731,18.8013
2009-01-19,NLG,515.1037,525.027,520.0654
2009-01-19,BIF,1.2433,1.31,1.2766
2009-01-19,EUR,1715.559,1750.964,1733.2615
2009-01-19,INR,26.457,26.9914,26.7242
2009-01-19,FRF,173.0511,176.3809,174.716
2009-01-19,SDR,2022.0457,2063.3119,2042.6788
2009-01-20,FIM,190.8756,194.5514,192.7135
2009-01-20,AUD,851.1123,868.8754,859.9938
2009-01-20,SDR,2021.6294,2062.8872,2042.2583
2009-01-20,DEM,580.2618,591.4363,585.849
2009-01-20,MWK,14.6055,14.7361,14.6708
2009-01-20,SEK,153.4259,156.2828,154.8544
2009-01-20,DKK,224.5854,228.9928,226.7891
2009-01-20,ESP,6.821,6.9521,6.8865
2009-01-20,FRF,173.0154,176.3446,174.68
2009-01-20,GOLD,1065496.9542,1089340.206,1077418.5801
2009-01-20,GBP,1833.4517,1871.2625,1852.3571
2009-01-20,KWD,4479.8878,4569.7212,4524.8045
2009-01-20,NOK,182.5708,185.9744,184.2726
2009-01-20,ZAR,126.4541,128.9967,127.7254
2009-01-20,CHF,1131.8068,1154.5998,1143.2033
2009-01-20,ITL,0.5861,0.5974,0.5918
2009-01-20,CAD,1022.9862,1043.5312,1033.2587
2009-01-20,JPY,14.2334,14.5207,14.3771
2009-01-20,EUR,1672.6632,1707.0614,1689.8623
2009-01-20,NLG,514.9977,524.919,519.9583
2009-01-20,INR,26.249,26.7792,26.5141
2009-01-20,PKR,22.3527,22.7101,22.5314
2009-01-20,KES,18.6257,18.9692,18.7975
2009-01-20,AED,350.0694,356.825,353.4472
2009-01-20,USD,1285.2798,1311.51,1298.3949
2009-01-20,SAR,342.7413,349.6427,346.192
2009-01-20,BEF,28.1335,28.6751,28.4043
2009-01-20,ATS,82.4765,84.0647,83.2706
2009-01-20,UGX,0.7872,0.7983,0.7927
2009-01-20,BIF,1.243,1.31,1.2765
2009-01-21,SDR,2021.6294,2062.8872,2042.2583
2009-01-21,INR,26.1183,26.6459,26.3821
2009-01-21,CHF,1126.4503,1148.9357,1137.693
2009-01-21,BIF,1.243,1.31,1.2765
2009-01-21,SAR,342.7413,349.6893,346.2153
2009-01-21,USD,1285.2798,1311.51,1298.3949
2009-01-21,GBP,1795.2788,1832.4418,1813.8603
2009-01-21,FRF,173.0154,176.3446,174.68
